ith_sess,session_id,navigate_click:0-4,cutscene_click:0-4,person_click:0-4,object_click:0-4,notification_click:0-4,observation_click:0-4,object_hover:0-4,map_hover:0-4,map_click:0-4,checkpoint:0-4,person_click:5-12,navigate_click:5-12,object_click:5-12,object_hover:5-12,cutscene_click:5-12,map_hover:5-12,notification_click:5-12,map_click:5-12,observation_click:5-12,checkpoint:5-12,navigate_click:13-22,person_click:13-22,cutscene_click:13-22,object_click:13-22,map_hover:13-22,object_hover:13-22,notification_click:13-22,map_click:13-22,observation_click:13-22,checkpoint:13-22,elapsed_time:0-4,event_index:0-4,elapsed_time:5-12,event_index:5-12,elapsed_time:13-22,event_index:13-22,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,num_correct,notebook_click:0-4,notebook_click:5-12,notebook_click:13-22
22,20100011033647636,88,26,19,13,8,4.0,5.0,1.0,3,1.0,110,104,43,19.0,11,8.0,9,8,1,1,517,125,59,33,52.0,19.0,8,27,8,1,313898.0,174.0,832325,508,2122128,1409,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,14,7.0,13.0,14.0
23,20100011274731204,123,46,21,11,5,1.0,6.0,1.0,3,1.0,106,178,112,30.0,11,13.0,15,7,1,1,494,122,56,37,46.0,16.0,6,9,5,1,159833.0,223.0,680752,724,2164739,1591,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8,6.0,10.0,32.0
24,20100011290663880,40,28,18,14,8,,5.0,1.0,2,1.0,118,93,17,16.0,11,7.0,9,8,2,1,157,128,78,14,25.0,10.0,8,12,4,1,312663.0,125.0,909957,440,1907285,948,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,14,9.0,24.0,31.0
25,20100011394713344,79,30,18,7,6,,7.0,,2,1.0,93,93,19,13.0,15,13.0,9,7,2,1,185,99,58,16,17.0,15.0,8,8,3,1,233145.0,160.0,633790,463,1409470,952,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16,11.0,27.0,35.0
26,20100011571871700,42,27,22,7,8,2.0,6.0,2.0,2,1.0,122,96,62,24.0,11,12.0,15,8,2,1,126,144,77,18,19.0,18.0,8,9,4,1,284160.0,118.0,852667,481,2435273,949,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,14,,2.0,
27,20100012014517956,55,28,20,9,9,3.0,4.0,2.0,2,1.0,99,83,19,18.0,11,15.0,9,7,3,1,179,129,59,16,6.0,17.0,8,8,5,1,218380.0,132.0,642510,407,1479036,870,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,,2.0,
28,20100012363755750,45,29,19,11,15,2.0,5.0,3.0,3,1.0,112,87,26,25.0,11,11.0,9,7,3,1,151,107,65,12,22.0,14.0,8,8,4,1,334453.0,132.0,849710,434,1822463,862,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,14,,,
29,20100012492111156,67,34,18,12,9,,5.0,3.0,2,1.0,122,121,20,21.0,11,26.0,9,11,3,1,232,130,70,27,18.0,24.0,6,7,4,1,389006.0,150.0,1725233,502,3572061,1077,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,10,,4.0,22.0
30,20100012540000424,70,32,22,7,6,4.0,2.0,2.0,3,1.0,119,110,32,22.0,12,25.0,9,12,2,1,182,113,55,20,20.0,15.0,10,9,3,1,1366231.0,148.0,6357776,501,10459843,976,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,12,,,5.0
31,20100012562027690,71,38,18,9,8,,5.0,5.0,2,1.0,123,130,26,27.0,14,12.0,9,6,2,1,284,158,75,21,23.0,19.0,9,7,3,1,153859.0,160.0,122697073,527,123549670,1207,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,13,4.0,10.0,32.0
32,20100013473331852,88,26,22,6,5,5.0,5.0,6.0,2,1.0,106,166,71,36.0,11,20.0,9,12,8,1,433,133,57,33,33.0,16.0,8,13,4,1,512748.0,170.0,1720944,625,3847165,1437,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,12,5.0,7.0,43.0
33,20100013511751244,50,25,18,6,5,,4.0,2.0,2,1.0,128,75,31,21.0,11,13.0,9,6,2,1,123,117,74,17,15.0,14.0,6,6,5,1,195877.0,116.0,783559,422,1656960,847,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,13,4.0,2.0,10.0
34,20100014024611770,39,26,20,12,8,,4.0,1.0,2,1.0,114,58,20,11.0,11,3.0,9,6,2,1,101,117,70,15,6.0,11.0,8,6,4,1,324466.0,115.0,775468,364,1565826,747,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,16,3.0,6.0,8.0
35,20100014035994700,63,29,22,25,5,2.0,10.0,,2,1.0,117,120,39,22.0,11,12.0,9,8,4,1,217,118,77,12,20.0,16.0,8,9,4,1,328258.0,162.0,864374,515,1824749,1035,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,13,4.0,,
36,20100015040218188,64,30,18,9,8,1.0,4.0,1.0,2,1.0,99,71,17,20.0,13,9.0,9,6,1,1,118,98,56,13,10.0,11.0,10,6,4,1,192572.0,137.0,558320,390,1125726,747,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,16,,,
37,20100015283382064,85,36,20,16,12,1.0,5.0,5.0,2,1.0,117,89,29,15.0,11,7.0,9,9,1,1,211,172,75,25,20.0,18.0,6,8,5,1,342885.0,186.0,828212,488,1648375,1084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17,4.0,6.0,4.0
38,20100015580955656,29,33,18,9,9,1.0,4.0,1.0,2,1.0,125,71,22,19.0,11,14.0,9,6,5,1,131,123,73,12,24.0,20.0,8,6,4,1,384558.0,112.0,1352973,413,2819923,856,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,13,6.0,13.0,6.0
39,20100016070249504,52,30,26,9,5,,3.0,,2,1.0,104,76,28,13.0,12,8.0,12,7,1,1,208,125,60,19,45.0,11.0,6,12,4,1,181445.0,127.0,600466,402,1694808,941,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,11,,,8.0
40,20100016190952620,82,32,22,9,8,,5.0,1.0,2,1.0,100,82,17,15.0,11,4.0,9,7,2,1,133,101,61,30,13.0,29.0,11,6,4,1,398634.0,161.0,942444,415,2082858,847,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,12,,2.0,4.0
41,20100017041691464,31,32,18,7,9,,2.0,,2,1.0,114,56,16,9.0,11,3.0,9,6,2,1,94,123,75,15,4.0,9.0,8,6,3,1,267991.0,109.0,731684,366,1500264,764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17,8.0,23.0,22.0
42,20100017174504320,42,28,19,7,6,2.0,3.0,,2,1.0,103,93,26,17.0,11,14.0,9,7,1,1,146,104,53,17,11.0,19.0,6,6,9,1,459427.0,111.0,4263306,398,5768680,804,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,12,2.0,2.0,4.0
43,20100017254481760,188,40,22,28,8,2.0,,,2,1.0,125,339,85,,11,,9,10,2,1,443,161,71,27,,,8,6,3,1,397599.0,296.0,1377454,888,2558975,1667,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,8,6.0,,
44,20100017263056424,110,33,21,10,9,3.0,3.0,1.0,4,1.0,130,122,31,31.0,13,15.0,9,9,2,1,283,136,77,50,45.0,19.0,8,13,3,1,256766.0,208.0,751068,601,1780823,1310,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,13,14.0,20.0,34.0
45,20100017310338576,90,42,35,26,12,4.0,3.0,1.0,3,1.0,102,102,63,19.0,11,17.0,12,11,3,1,265,120,60,44,15.0,23.0,17,7,9,1,283369.0,183.0,758698,544,2526620,1167,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,13,8.0,9.0,22.0
46,20100018303409816,58,31,27,17,9,3.0,6.0,1.0,3,1.0,98,75,20,15.0,14,10.0,9,6,5,1,283,112,62,42,47.0,23.0,11,18,3,1,43707118.0,155.0,44361529,417,49966056,1071,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16,,,7.0
47,20100018421509572,63,36,19,9,6,2.0,3.0,3.0,2,1.0,115,122,32,28.0,11,13.0,9,17,4,1,260,109,53,16,15.0,9.0,6,7,4,1,302762.0,143.0,3806099,506,5494900,1037,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,8,,,6.0
48,20100020201084828,61,28,22,35,11,5.0,6.0,3.0,3,1.0,129,128,33,25.0,13,25.0,9,9,6,1,228,128,74,16,46.0,15.0,10,13,5,1,346523.0,178.0,928393,572,2015152,1160,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,8,4.0,3.0,6.0
49,20100023124078624,53,31,18,12,9,2.0,7.0,5.0,3,1.0,107,103,24,16.0,17,14.0,12,7,2,1,254,121,56,19,33.0,14.0,11,14,3,1,239970.0,142.0,639824,454,1469909,1021,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,12,2.0,4.0,2.0
50,20100106475056520,70,28,20,18,11,3.0,4.0,1.0,2,1.0,125,132,52,23.0,13,2.0,9,8,1,1,269,122,77,19,18.0,18.0,8,9,6,1,300334.0,162.0,838494,544,1700163,1147,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,13,5.0,7.0,15.0
51,20100107064152736,73,36,20,18,8,3.0,8.0,1.0,2,1.0,106,163,30,20.0,15,13.0,15,8,4,1,287,146,65,41,42.0,22.0,10,18,4,1,171703.0,169.0,640833,558,1813960,1247,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,9,,,
52,20100107145631690,135,30,19,50,5,1.0,10.0,4.0,2,1.0,105,247,126,30.0,11,23.0,12,10,4,1,305,108,60,37,23.0,28.0,16,7,9,1,432488.0,262.0,1359622,864,2657782,1517,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,15,6.0,24.0,18.0
53,20100107482652664,55,29,19,32,8,1.0,10.0,3.0,2,1.0,95,110,31,27.0,11,16.0,9,8,2,1,188,102,61,34,24.0,35.0,17,7,4,1,320937.0,159.0,927946,477,1897221,987,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,15,,,
54,20100107574055690,110,31,22,14,8,1.0,5.0,4.0,2,1.0,125,172,56,25.0,16,21.0,9,9,1,1,321,123,76,68,46.0,43.0,11,17,5,1,184433.0,197.0,648813,642,1912954,1410,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,15,,,17.0
55,20100108361406030,44,32,18,16,12,,4.0,6.0,2,1.0,104,108,18,23.0,11,19.0,9,11,1,1,201,123,53,30,15.0,30.0,10,7,8,1,258093.0,136.0,1547106,454,4698440,983,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,8,2.0,6.0,10.0
56,20100108383025864,80,43,21,11,9,2.0,4.0,1.0,3,1.0,118,85,24,15.0,11,11.0,9,7,2,1,227,124,79,19,31.0,20.0,10,7,4,1,220278.0,174.0,721021,475,2609786,1053,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,14,,6.0,12.0
57,20100108432199556,61,36,24,7,6,3.0,2.0,2.0,3,1.0,109,96,48,28.0,11,19.0,9,9,3,1,266,111,59,20,10.0,25.0,11,6,7,1,1756062.0,144.0,2596433,503,5417755,1065,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,12,,16.0,7.0
58,20100108444190744,59,29,18,32,9,1.0,7.0,3.0,3,1.0,93,140,330,121.0,11,21.0,9,10,2,1,240,136,61,37,37.0,30.0,15,8,5,1,379093.0,163.0,2049803,915,3686479,1525,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,13,2.0,2.0,2.0
59,20100108495321150,58,31,18,8,6,,5.0,2.0,2,1.0,96,100,18,14.0,12,8.0,9,7,4,1,174,118,54,14,10.0,13.0,8,6,5,1,200003.0,132.0,562380,406,1398320,847,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,2.0,,2.0
60,20100108534216284,96,34,21,13,6,,2.0,4.0,3,1.0,119,104,30,18.0,11,8.0,9,7,2,1,285,132,78,16,35.0,13.0,8,9,4,1,210936.0,179.0,946081,502,2354276,1145,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,13,,5.0,21.0
61,20100108574283104,58,28,19,14,5,2.0,11.0,3.0,2,1.0,131,202,75,40.0,12,28.0,9,12,4,1,261,122,85,16,24.0,17.0,6,9,5,1,291160.0,142.0,1075309,668,1986811,1257,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,15,,,
62,20100109102870652,96,35,18,8,6,,2.0,1.0,3,1.0,114,100,21,11.0,12,5.0,9,6,2,1,200,117,77,12,6.0,10.0,8,6,3,1,264589.0,169.0,730486,458,1700869,941,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,14,,,
63,20100109151447104,71,32,23,16,9,2.0,6.0,,2,1.0,125,147,150,30.0,11,5.0,9,7,3,1,346,146,84,19,22.0,13.0,8,8,7,1,506905.0,168.0,3049696,678,4222242,1374,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,10,7.0,14.0,
64,20100109162353624,99,45,20,14,10,,6.0,1.0,2,1.0,110,157,47,30.0,17,13.0,15,7,1,1,277,126,60,35,22.0,38.0,8,7,5,1,187372.0,197.0,496650,626,2263734,1247,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,11,,,6.0
65,20100109301649708,116,29,18,25,5,,8.0,3.0,2,1.0,115,153,79,30.0,11,15.0,9,7,4,1,281,129,77,17,27.0,24.0,8,13,5,1,286466.0,211.0,820041,646,2014382,1270,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,14,5.0,,
66,20100109343643120,31,30,24,10,6,3.0,5.0,3.0,2,1.0,107,81,28,20.0,11,5.0,9,6,3,1,148,114,58,13,17.0,13.0,6,12,5,1,220393.0,120.0,671274,422,1576830,873,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,11,6.0,23.0,26.0
67,20100109380136844,116,31,28,11,5,,9.0,5.0,2,1.0,141,147,50,34.0,11,25.0,9,7,3,1,595,152,80,55,88.0,46.0,22,34,5,1,335561.0,206.0,975631,649,2531912,1796,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,10,,2.0,19.0
68,20100109441471076,59,32,21,40,5,,8.0,4.0,2,1.0,122,198,74,46.0,13,30.0,9,11,6,1,360,117,54,23,59.0,15.0,13,16,4,1,335402.0,177.0,1213460,702,2491320,1420,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,8,6.0,10.0,19.0
69,20100109452581744,68,33,20,10,9,3.0,5.0,3.0,2,1.0,126,130,43,31.0,11,20.0,9,8,6,1,166,122,72,25,39.0,28.0,8,9,4,1,396464.0,153.0,1574276,562,3433277,1093,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,11,,16.0,18.0
70,20100109514699030,82,28,20,37,8,3.0,4.0,1.0,2,1.0,101,175,51,20.0,11,18.0,9,10,3,1,261,112,54,17,31.0,10.0,8,15,4,1,328435.0,190.0,848244,595,1738784,1148,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,7,5.0,,
71,20100109594661570,91,37,21,8,5,,6.0,1.0,2,1.0,100,133,27,19.0,17,13.0,9,7,2,1,224,102,67,32,30.0,22.0,11,9,3,1,203671.0,173.0,565188,512,1341759,1062,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,13,2.0,,9.0
72,20100109595390890,85,26,22,9,8,6.0,4.0,3.0,2,1.0,112,94,23,19.0,11,11.0,12,6,4,1,243,129,61,25,38.0,40.0,12,13,5,1,553861.0,171.0,1113110,485,2437782,1102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,17,6.0,12.0,12.0
73,20100110025276096,63,34,20,16,9,5.0,7.0,3.0,2,1.0,123,180,46,34.0,11,14.0,9,9,3,1,208,110,58,16,13.0,23.0,8,7,4,1,455666.0,159.0,1119698,605,2886922,1094,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,9,,,
74,20100110073981440,59,28,18,20,9,4.0,4.0,2.0,2,1.0,102,84,47,20.0,11,13.0,9,7,2,1,133,101,60,15,28.0,21.0,8,6,4,1,329161.0,148.0,848364,455,1654449,866,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,13,2.0,4.0,
75,20100110082132976,81,27,18,20,8,2.0,4.0,3.0,2,1.0,123,103,43,19.0,11,24.0,12,7,1,1,233,128,77,18,12.0,15.0,11,7,3,1,381748.0,167.0,898669,526,1704773,1074,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,14,2.0,2.0,
76,20100110165348344,69,28,18,9,5,1.0,,,2,1.0,116,92,31,,11,,9,8,2,1,203,122,77,31,,,8,7,3,1,245307.0,136.0,764752,434,1654246,952,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,16,4.0,20.0,24.0
77,20100110204440016,77,28,18,18,8,3.0,6.0,3.0,2,1.0,134,287,73,30.0,13,21.0,9,12,4,1,757,132,77,74,57.0,21.0,8,20,7,1,294329.0,172.0,9553565,809,13118429,2073,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,10,9.0,29.0,63.0
78,20100110244127932,36,36,21,13,6,,3.0,4.0,3,1.0,135,116,55,20.0,12,28.0,12,11,4,1,184,124,72,28,17.0,21.0,11,9,4,1,258369.0,120.0,1303276,526,2677106,1039,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,12,,,
79,20100110283943724,71,33,28,24,9,5.0,6.0,2.0,2,1.0,114,167,47,28.0,13,25.0,12,14,5,1,260,117,60,23,37.0,17.0,9,13,6,1,360299.0,189.0,969909,635,3264153,1229,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,10,9.0,8.0,15.0
80,20100110292895384,71,34,18,12,8,,6.0,2.0,2,1.0,124,212,52,33.0,13,17.0,10,13,1,1,350,148,77,115,40.0,44.0,8,13,4,1,180683.0,153.0,697084,642,1716121,1490,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,13,,,4.0
81,20100110312175628,79,26,25,14,5,,4.0,2.0,2,1.0,130,178,40,19.0,11,8.0,9,8,2,1,281,126,77,17,9.0,12.0,10,6,3,1,253764.0,167.0,743375,594,2122026,1198,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,15,10.0,13.0,23.0
82,20100110332615344,142,77,42,35,12,2.0,14.0,6.0,4,2.0,266,425,132,77.0,30,44.0,21,21,6,2,460,155,76,56,120.0,26.0,8,37,4,1,6179801.0,2035.0,6527358,2457,5627415,1819,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,10,,28.0,48.0
83,20100110411908996,47,30,18,8,8,1.0,6.0,2.0,2,1.0,96,148,197,30.0,11,16.0,9,8,3,1,908,124,58,43,71.0,24.0,8,34,4,1,224180.0,129.0,740924,660,1917850,2009,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,13,7.0,4.0,27.0
84,20100110453807850,43,28,19,14,6,3.0,5.0,2.0,2,1.0,95,98,101,37.0,13,30.0,9,12,1,1,201,107,58,21,26.0,19.0,8,8,5,1,429208.0,130.0,1173652,548,2218212,1050,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,13,8.0,13.0,14.0
85,20100110472592492,37,31,20,10,9,,7.0,1.0,3,1.0,98,65,17,23.0,11,1.0,9,7,1,1,150,111,58,20,9.0,19.0,8,6,4,1,398066.0,128.0,991762,396,2050985,860,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,16,10.0,28.0,40.0
